OID,EFF_DATE,SITE_NO,SITE_TYPE_CODE,STATE_CODE,ARPT_ID,ARPT_NAME,CITY,COUNTRY_CODE,OWNERSHIP_TYPE_CODE,FACILITY_USE_CODE,RWY_ID,LAT1_DECIMAL,LONG1_DECIMAL,LAT2_DECIMAL,LONG2_DECIMAL,RWY_LEN,RWY_WIDTH,SURFACE_TYPE_CODE,COND,TREATMENT_CODE,PCN,PAVEMENT_TYPE_CODE,SUBGRADE_STRENGTH_CODE,TIRE_PRES_CODE,DTRM_METHOD_CODE,RWY_LGT_CODE,RWY_LEN_SOURCE,LENGTH_SOURCE_DATE,GROSS_WT_SW,GROSS_WT_DW,GROSS_WT_DTW,GROSS_WT_DDTW,Shape__Area,Shape__Length
749,7/11/2024 12:00:00 AM,02251.,A,CA,SMX,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FLD,SANTA MARIA,US,PU,PU,02/20,34.89338966,-120.4679315,34.90494586,-120.45774413,5199,75,ASPH,GOOD,NONE,6,F,B,Y,U,,3RD PARTY SURVEY,8/23/2016 12:00:00 AM,70,90,150,,3.57221097146976E-06,0.031282582525806
750,7/11/2024 12:00:00 AM,02251.,A,CA,SMX,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FLD,SANTA MARIA,US,PU,PU,12/30,34.90827819,-120.46435886,34.89261813,-120.44561936,8004,150,ASPH,GOOD,GRVD,56,F,B,X,U,HIGH,3RD PARTY SURVEY,8/23/2016 12:00:00 AM,75,181,400,,1.10003993540886E-05,0.0497607049043546
751,7/11/2024 12:00:00 AM,02253.,A,CA,SMO,SANTA MONICA MUNI,SANTA MONICA,US,PU,PU,03/21,34.01239636,-118.45535861,34.01924738,-118.44725338,3500,150,ASPH,GOOD,GRVD,,,,,,MED,3RD PARTY SURVEY,7/18/2017 12:00:00 AM,40,60,105,,4.76032414553629E-06,0.022137731767872
752,7/11/2024 12:00:00 AM,02256.,A,CA,SZP,SANTA PAULA,SANTA PAULA,US,PR,PU,04/22,34.34504472,-119.06533661,34.34899,-119.05789722,2665,60,ASPH,GOOD,NONE,,,,,,,ARPTS CONTRACTOR,12/17/2018 12:00:00 AM,,,,,1.45575381793606E-06,0.0171923432714743
753,7/11/2024 12:00:00 AM,02260.,A,CA,STS,CHARLES M SCHULZ - SONOMA COUNTY,SANTA ROSA,US,PU,PU,02/20,38.50316516,-122.82096344,38.515636,-122.81210077,5202,100,ASPH,GOOD,GRVD,43,F,C,W,T,MED,3RD PARTY SURVEY,5/28/2015 12:00:00 AM,109,154,254,,4.99142151966225E-06,0.0312649854479503
754,7/11/2024 12:00:00 AM,02260.,A,CA,STS,CHARLES M SCHULZ - SONOMA COUNTY,SANTA ROSA,US,PU,PU,14/32,38.51751761,-122.81381622,38.50233066,-122.80568761,6000,150,ASPH,GOOD,GRVD,52,F,C,W,T,HIGH,3RD PARTY SURVEY,5/28/2015 12:00:00 AM,120,184,300,,8.63616060087224E-06,0.0354687802779778
755,7/11/2024 12:00:00 AM,02264.,A,CA,IZA,SANTA YNEZ/KUNKLE FLD,SANTA YNEZ,US,PU,PU,08/26,34.60736666,-120.08016111,34.60626388,-120.07093888,2803,75,ASPH,GOOD,NONE,,,,,,MED,ADO,1/29/2014 12:00:00 AM,12.5,,,,1.92020161193796E-06,0.0189899499495901
756,7/11/2024 12:00:00 AM,02281.6,A,CA,0Q3,SONOMA VALLEY,SCHELLVILLE/SONOMA,US,PR,PU,07/25,38.22331944,-122.45253055,38.2233,-122.44313055,2700,45,ASPH,GOOD,NONE,,,,,,,,,12.5,,,,1.16153341878089E-06,0.0190471752016754
757,7/11/2024 12:00:00 AM,02281.6,A,CA,0Q3,SONOMA VALLEY,SCHELLVILLE/SONOMA,US,PR,PU,17/35,38.22715794,-122.4530613,38.22300369,-122.45313036,1513,50,ASPH,GOOD,NONE,,,,,,,FAA-EST IMAGERY,5/13/2015 12:00:00 AM,12.5,,,,7.23092853149865E-07,0.0086577290784569
758,7/11/2024 12:00:00 AM,02287.2,A,CA,0Q4,SELMA,SELMA,US,PR,PU,10/28,36.582465,-119.660266,36.579536,-119.65369,2206,50,ASPH,POOR,NONE,,,,,,NSTD,ADO,9/28/2011 12:00:00 AM,12,,,,1.03168849818758E-06,0.0146890207650424
759,7/11/2024 12:00:00 AM,02292.,A,CA,MIT,SHAFTER-MINTER FLD,SHAFTER,US,PU,PU,08/26,35.51057291,-119.19913063,35.51056266,-119.1867673,3680,60,ASPH,GOOD,NONE,,,,,,,3RD PARTY SURVEY,1/19/2021 12:00:00 AM,125,,,,2.03786930796923E-06,0.0250563305073035
760,7/11/2024 12:00:00 AM,02292.,A,CA,MIT,SHAFTER-MINTER FLD,SHAFTER,US,PU,PU,12/30,35.51067802,-119.20102502,35.50218927,-119.19003061,4501,100,ASPH,GOOD,NONE,,,,,,MED,3RD PARTY SURVEY,1/19/2021 12:00:00 AM,22,,,,4.15409022025415E-06,0.0283905292753512
761,7/11/2024 12:00:00 AM,02292.,A,CA,MIT,SHAFTER-MINTER FLD,SHAFTER,US,PU,PU,17/35,35.50931438,-119.18596958,35.50114988,-119.18597702,2972,100,CONC,GOOD,NONE,,,,,,,3RD PARTY SURVEY,1/19/2021 12:00:00 AM,25,30,,,2.74299509328557E-06,0.017000937477202
762,7/11/2024 12:00:00 AM,02294.4,A,CA,0Q5,SHELTER COVE,SHELTER COVE,US,PU,PU,12/30,40.031705,-124.07827044,40.02460266,-124.0703575,3407,60,ASPH,FAIR,NONE,,,,,,,3RD PARTY SURVEY,4/20/2010 12:00:00 AM,20,,,,2.00351678358857E-06,0.0216553887354159
763,7/11/2024 12:00:00 AM,02295.,A,CA,L61,SHOSHONE,SHOSHONE,US,PU,PU,15/33,35.97181388,-116.27006111,35.9654,-116.26848333,2380,30,ASPH,GOOD,NONE,,,,,,LOW,,,,,,,6.63084392726887E-07,0.0134116114116362
764,7/11/2024 12:00:00 AM,02295.4,A,CA,O79,SIERRAVILLE DEARWATER,SIERRAVILLE,US,PU,PU,03/21,39.57871666,-120.35838055,39.58460277,-120.34966111,3260,50,ASPH,GOOD,NONE,,,,,,,,,12,,,,1.58830562213552E-06,0.0213521846526709
765,7/11/2024 12:00:00 AM,02299.8,A,CA,0Q9,SONOMA SKYPARK,SONOMA,US,PR,PU,08/26,38.25796944,-122.43885416,38.25699388,-122.43027805,2490,40,ASPH,FAIR,NONE,,,,,,,,,8,,,,9.51722086028894E-07,0.0174838676933062
766,7/11/2024 12:00:00 AM,02303.7,A,CA,TVL,LAKE TAHOE,SOUTH LAKE TAHOE,US,PU,PU,18/36,38.9053225,-119.99198638,38.88247166,-119.99869086,8541,100,ASPH,EXCELLENT,GRVD,,,,,,MED,3RD PARTY SURVEY,8/4/2016 12:00:00 AM,70,125,210,,8.23657728687976E-06,0.0483239836471945
